date,store_id,sku,units,revenue
2024-01-03,10,C,8,112.00
2024-01-04,1,A,8,80.00
2024-01-04,1,B,5,60.00
2024-01-04,1,C,5,70.00
2024-01-04,2,A,8,80.00
2024-01-04,2,B,12,144.00
2024-01-04,2,C,6,84.00
2024-01-04,3,A,4,40.00
2024-01-04,3,B,7,84.00
2024-01-04,3,C,4,56.00
2024-01-04,4,A,6,60.00
2024-01-04,4,B,7,84.00
2024-01-04,4,C,4,56.00
2024-01-04,5,A,9,90.00
2024-01-04,5,B,6,72.00
2024-01-04,5,C,10,140.00
2024-01-04,6,A,5,50.00
2024-01-04,6,B,9,108.00
2024-01-04,6,C,5,70.00
2024-01-04,7,A,9,90.00
2024-01-04,7,B,4,48.00
2024-01-04,7,C,6,84.00
2024-01-04,8,A,9,90.00
2024-01-04,8,B,12,144.00
2024-01-04,8,C,5,70.00
2024-01-04,9,A,6,60.00
2024-01-04,9,B,6,72.00
2024-01-04,9,C,8,112.00
2024-01-04,10,A,8,80.00
2024-01-04,10,B,7,84.00
2024-01-04,10,C,5,70.00
2024-01-05,1,A,4,40.00
2024-01-05,1,B,7,84.00
2024-01-05,1,C,6,84.00
2024-01-05,2,A,13,130.00
2024-01-05,2,B,7,84.00
2024-01-05,2,C,9,126.00
2024-01-05,3,A,1,10.00
2024-01-05,3,B,4,48.00
2024-01-05,3,C,5,70.00
2024-01-05,4,A,8,80.00
2024-01-05,4,B,9,108.00
2024-01-05,4,C,6,84.00
2024-01-05,5,A,6,60.00
2024-01-05,5,B,9,108.00
2024-01-05,5,C,10,140.00
2024-01-05,6,A,5,50.00
2024-01-05,6,B,3,36.00
2024-01-05,6,C,7,98.00
2024-01-05,7,A,7,70.00
2024-01-05,7,B,8,96.00
2024-01-05,7,C,9,126.00
2024-01-05,8,A,10,100.00
2024-01-05,8,B,9,108.00
2024-01-05,8,C,13,182.00
2024-01-05,9,A,5,50.00
2024-01-05,9,B,4,48.00
2024-01-05,9,C,5,70.00
2024-01-05,10,A,9,90.00
2024-01-05,10,B,7,84.00
2024-01-05,10,C,8,112.00
2024-01-06,1,A,9,90.00
2024-01-06,1,B,5,60.00
2024-01-06,1,C,3,42.00
2024-01-06,2,A,9,90.00
2024-01-06,2,B,9,108.00
2024-01-06,2,C,7,98.00
2024-01-06,3,A,6,60.00
2024-01-06,3,B,6,72.00
2024-01-06,3,C,3,42.00
2024-01-06,4,A,8,80.00
2024-01-06,4,B,6,72.00
2024-01-06,4,C,4,56.00
2024-01-06,5,A,9,90.00
2024-01-06,5,B,8,96.00
2024-01-06,5,C,7,98.00
2024-01-06,6,A,6,60.00
2024-01-06,6,B,5,60.00
2024-01-06,6,C,3,42.00
2024-01-06,7,A,7,70.00
2024-01-06,7,B,9,108.00
2024-01-06,7,C,5,70.00
2024-01-06,8,A,9,90.00
2024-01-06,8,B,9,108.00
2024-01-06,8,C,13,182.00
2024-01-06,9,A,1,10.00
2024-01-06,9,B,6,72.00
2024-01-06,9,C,4,56.00
2024-01-06,10,A,6,60.00
2024-01-06,10,B,10,120.00
2024-01-06,10,C,6,84.00
2024-01-07,1,A,11,110.00
2024-01-07,1,B,6,72.00
2024-01-07,1,C,7,98.00
2024-01-07,2,A,8,80.00
2024-01-07,2,B,7,84.00
2024-01-07,2,C,9,126.00
2024-01-07,3,A,4,40.00
2024-01-07,3,B,5,60.00
2024-01-07,3,C,0,0.00
2024-01-07,4,A,11,110.00
2024-01-07,4,B,6,72.00
2024-01-07,4,C,10,140.00
2024-01-07,5,A,6,60.00
2024-01-07,5,B,9,108.00
2024-01-07,5,C,15,210.00
2024-01-07,6,A,3,30.00
2024-01-07,6,B,2,24.00
2024-01-07,6,C,3,42.00
2024-01-07,7,A,7,70.00
2024-01-07,7,B,8,96.00
2024-01-07,7,C,9,126.00
2024-01-07,8,A,8,80.00
2024-01-07,8,B,5,60.00
2024-01-07,8,C,8,112.00
2024-01-07,9,A,7,70.00
2024-01-07,9,B,5,60.00
2024-01-07,9,C,1,14.00
2024-01-07,10,A,6,60.00
2024-01-07,10,B,9,108.00
2024-01-07,10,C,11,154.00
2024-01-08,1,A,8,80.00
2024-01-08,1,B,7,84.00
2024-01-08,1,C,4,56.00
2024-01-08,2,A,7,70.00
2024-01-08,2,B,9,108.00
2024-01-08,2,C,10,140.00
2024-01-08,3,A,6,60.00
2024-01-08,3,B,4,48.00
2024-01-08,3,C,2,28.00
2024-01-08,4,A,5,50.00
2024-01-08,4,B,4,48.00
2024-01-08,4,C,8,112.00
2024-01-08,5,A,4,40.00
2024-01-08,5,B,8,96.00
2024-01-08,5,C,9,126.00
2024-01-08,6,A,8,80.00
2024-01-08,6,B,5,60.00
2024-01-08,6,C,7,98.00
2024-01-08,7,A,6,60.00
2024-01-08,7,B,5,60.00
2024-01-08,7,C,5,70.00
2024-01-08,8,A,12,120.00
2024-01-08,8,B,10,120.00
2024-01-08,8,C,9,126.00
2024-01-08,9,A,11,110.00
2024-01-08,9,B,4,48.00
2024-01-08,9,C,6,84.00
2024-01-08,10,A,7,70.00
2024-01-08,10,B,6,72.00
2024-01-08,10,C,11,154.00
2024-01-09,1,A,10,100.00
2024-01-09,1,B,4,48.00
2024-01-09,1,C,6,84.00
2024-01-09,2,A,9,90.00
2024-01-09,2,B,10,120.00
2024-01-09,2,C,6,84.00
2024-01-09,3,A,0,0.00
2024-01-09,3,B,1,12.00
2024-01-09,3,C,4,56.00
2024-01-09,4,A,6,60.00
2024-01-09,4,B,7,84.00
2024-01-09,4,C,5,70.00
2024-01-09,5,A,6,60.00
2024-01-09,5,B,4,48.00
2024-01-09,5,C,9,126.00
2024-01-09,6,A,5,50.00
2024-01-09,6,B,6,72.00
2024-01-09,6,C,6,84.00
2024-01-09,7,A,6,60.00
2024-01-09,7,B,9,108.00
2024-01-09,7,C,6,84.00
2024-01-09,8,A,7,70.00
2024-01-09,8,B,7,84.00
2024-01-09,8,C,7,98.00
2024-01-09,9,A,0,0.00
2024-01-09,9,B,5,60.00
2024-01-09,9,C,5,70.00
2024-01-09,10,A,6,60.00
2024-01-09,10,B,5,60.00
2024-01-09,10,C,7,98.00
2024-01-10,1,A,10,100.00
2024-01-10,1,B,7,84.00
2024-01-10,1,C,5,70.00
2024-01-10,2,A,7,70.00
2024-01-10,2,B,8,96.00
2024-01-10,2,C,6,84.00
2024-01-10,3,A,4,40.00
2024-01-10,3,B,5,60.00
2024-01-10,3,C,8,112.00
2024-01-10,4,A,8,80.00
2024-01-10,4,B,9,108.00
2024-01-10,4,C,5,70.00
2024-01-10,5,A,10,100.00
2024-01-10,5,B,6,72.00
2024-01-10,5,C,9,126.00
2024-01-10,6,A,5,50.00
2024-01-10,6,B,3,36.00
2024-01-10,6,C,8,112.00
2024-01-10,7,A,8,80.00
2024-01-10,7,B,3,36.00
2024-01-10,7,C,8,112.00
2024-01-10,8,A,8,80.00
2024-01-10,8,B,9,108.00
2024-01-10,8,C,9,126.00
2024-01-10,9,A,5,50.00
2024-01-10,9,B,0,0.00
2024-01-10,9,C,2,28.00
2024-01-10,10,A,8,80.00
2024-01-10,10,B,9,108.00
2024-01-10,10,C,10,140.00
2024-01-11,1,A,10,100.00
2024-01-11,1,B,2,24.00
2024-01-11,1,C,8,112.00
2024-01-11,2,A,5,50.00
2024-01-11,2,B,12,144.00
2024-01-11,2,C,9,126.00
2024-01-11,3,A,2,20.00
2024-01-11,3,B,9,108.00
2024-01-11,3,C,6,84.00
2024-01-11,4,A,3,30.00
2024-01-11,4,B,7,84.00
2024-01-11,4,C,5,70.00
2024-01-11,5,A,9,90.00
2024-01-11,5,B,8,96.00
2024-01-11,5,C,11,154.00
2024-01-11,6,A,2,20.00
2024-01-11,6,B,5,60.00
2024-01-11,6,C,8,112.00
2024-01-11,7,A,5,50.00
2024-01-11,7,B,7,84.00
2024-01-11,7,C,7,98.00
2024-01-11,8,A,7,70.00
2024-01-11,8,B,10,120.00
2024-01-11,8,C,9,126.00
2024-01-11,9,A,3,30.00
2024-01-11,9,B,8,96.00
2024-01-11,9,C,6,84.00
2024-01-11,10,A,6,60.00
2024-01-11,10,B,5,60.00
2024-01-11,10,C,5,70.00
2024-01-12,1,A,9,90.00
2024-01-12,1,B,6,72.00
2024-01-12,1,C,7,98.00
2024-01-12,2,A,8,80.00
2024-01-12,2,B,10,120.00
2024-01-12,2,C,8,112.00
2024-01-12,3,A,6,60.00
2024-01-12,3,B,4,48.00
2024-01-12,3,C,6,84.00
2024-01-12,4,A,8,80.00
2024-01-12,4,B,6,72.00
2024-01-12,4,C,5,70.00
2024-01-12,5,A,7,70.00
2024-01-12,5,B,7,84.00
2024-01-12,5,C,7,98.00
2024-01-12,6,A,6,60.00
2024-01-12,6,B,4,48.00
2024-01-12,6,C,8,112.00
2024-01-12,7,A,11,110.00
2024-01-12,7,B,7,84.00
2024-01-12,7,C,3,42.00
2024-01-12,8,A,8,80.00
2024-01-12,8,B,8,96.00
2024-01-12,8,C,6,84.00
2024-01-12,9,A,4,40.00
2024-01-12,9,B,5,60.00
2024-01-12,9,C,4,56.00
2024-01-12,10,A,5,50.00
2024-01-12,10,B,5,60.00
2024-01-12,10,C,10,140.00
2024-01-13,1,A,6,60.00
2024-01-13,1,B,5,60.00
2024-01-13,1,C,6,84.00
2024-01-13,2,A,10,100.00
2024-01-13,2,B,7,84.00
2024-01-13,2,C,9,126.00
2024-01-13,3,A,6,60.00
2024-01-13,3,B,6,72.00
2024-01-13,3,C,7,98.00
2024-01-13,4,A,5,50.00
2024-01-13,4,B,9,108.00
2024-01-13,4,C,5,70.00
2024-01-13,5,A,8,80.00
2024-01-13,5,B,11,132.00
2024-01-13,5,C,10,140.00
2024-01-13,6,A,5,50.00
2024-01-13,6,B,2,24.00
2024-01-13,6,C,6,84.00
2024-01-13,7,A,5,50.00
2024-01-13,7,B,5,60.00
2024-01-13,7,C,5,70.00
2024-01-13,8,A,9,90.00
2024-01-13,8,B,4,48.00
2024-01-13,8,C,9,126.00
2024-01-13,9,A,5,50.00
2024-01-13,9,B,3,36.00
2024-01-13,9,C,7,98.00
2024-01-13,10,A,8,80.00
2024-01-13,10,B,5,60.00
2024-01-13,10,C,5,70.00
2024-01-14,1,A,8,80.00
2024-01-14,1,B,3,36.00
2024-01-14,1,C,6,84.00
2024-01-14,2,A,7,70.00
2024-01-14,2,B,9,108.00
2024-01-14,2,C,9,126.00
2024-01-14,3,A,5,50.00
2024-01-14,3,B,7,84.00
2024-01-14,3,C,5,70.00
2024-01-14,4,A,6,60.00
2024-01-14,4,B,4,48.00
2024-01-14,4,C,8,112.00
2024-01-14,5,A,10,100.00
2024-01-14,5,B,11,132.00
2024-01-14,5,C,7,98.00
2024-01-14,6,A,5,50.00
2024-01-14,6,B,4,48.00
2024-01-14,6,C,4,56.00
2024-01-14,7,A,7,70.00
2024-01-14,7,B,3,36.00
2024-01-14,7,C,8,112.00
2024-01-14,8,A,10,100.00
2024-01-14,8,B,11,132.00
2024-01-14,8,C,13,182.00
2024-01-14,9,A,4,40.00
2024-01-14,9,B,4,48.00
2024-01-14,9,C,5,70.00
2024-01-14,10,A,10,100.00
2024-01-14,10,B,3,36.00
2024-01-14,10,C,7,98.00
2024-01-15,1,A,4,40.00
2024-01-15,1,B,1,12.00
2024-01-15,1,C,2,28.00
2024-01-15,2,A,6,60.00
2024-01-15,2,B,11,132.00
2024-01-15,2,C,7,98.00
2024-01-15,3,A,4,40.00
2024-01-15,3,B,2,24.00
2024-01-15,3,C,6,84.00
2024-01-15,4,A,4,40.00
2024-01-15,4,B,9,108.00
2024-01-15,4,C,5,70.00
2024-01-15,5,A,7,70.00
2024-01-15,5,B,9,108.00
2024-01-15,5,C,9,126.00
2024-01-15,6,A,7,70.00
2024-01-15,6,B,5,60.00
2024-01-15,6,C,2,28.00
2024-01-15,7,A,5,50.00
2024-01-15,7,B,5,60.00
2024-01-15,7,C,8,112.00
2024-01-15,8,A,9,90.00
2024-01-15,8,B,8,96.00
2024-01-15,8,C,10,140.00
2024-01-15,9,A,3,30.00
2024-01-15,9,B,4,48.00
2024-01-15,9,C,5,70.00
2024-01-15,10,A,10,100.00
2024-01-15,10,B,6,72.00
2024-01-15,10,C,6,84.00
2024-01-16,1,A,4,40.00
2024-01-16,1,B,8,96.00
2024-01-16,1,C,5,70.00
2024-01-16,2,A,9,90.00
2024-01-16,2,B,5,60.00
2024-01-16,2,C,11,154.00
2024-01-16,3,A,2,20.00
2024-01-16,3,B,3,36.00
2024-01-16,3,C,7,98.00
2024-01-16,4,A,4,40.00
2024-01-16,4,B,6,72.00
2024-01-16,4,C,7,98.00
2024-01-16,5,A,7,70.00
2024-01-16,5,B,11,132.00
2024-01-16,5,C,11,154.00
2024-01-16,6,A,1,10.00
2024-01-16,6,B,2,24.00
2024-01-16,6,C,6,84.00
2024-01-16,7,A,4,40.00
2024-01-16,7,B,6,72.00
2024-01-16,7,C,7,98.00
2024-01-16,8,A,10,100.00
2024-01-16,8,B,8,96.00
2024-01-16,8,C,9,126.00
2024-01-16,9,A,3,30.00
2024-01-16,9,B,7,84.00
2024-01-16,9,C,4,56.00
2024-01-16,10,A,7,70.00
2024-01-16,10,B,5,60.00
2024-01-16,10,C,7,98.00
2024-01-17,1,A,6,60.00
2024-01-17,1,B,6,72.00
2024-01-17,1,C,4,56.00
2024-01-17,2,A,10,100.00
2024-01-17,2,B,11,132.00
2024-01-17,2,C,9,126.00
2024-01-17,3,A,6,60.00
2024-01-17,3,B,6,72.00
2024-01-17,3,C,6,84.00
2024-01-17,4,A,7,70.00
2024-01-17,4,B,7,84.00
2024-01-17,4,C,8,112.00
2024-01-17,5,A,9,90.00
2024-01-17,5,B,7,84.00
2024-01-17,5,C,9,126.00
2024-01-17,6,A,1,10.00
2024-01-17,6,B,4,48.00
2024-01-17,6,C,5,70.00
2024-01-17,7,A,9,90.00
2024-01-17,7,B,7,84.00
2024-01-17,7,C,8,112.00
2024-01-17,8,A,8,80.00
2024-01-17,8,B,6,72.00
2024-01-17,8,C,6,84.00
2024-01-17,9,A,3,30.00
2024-01-17,9,B,2,24.00
2024-01-17,9,C,6,84.00
2024-01-17,10,A,6,60.00
2024-01-17,10,B,8,96.00
2024-01-17,10,C,7,98.00
2024-01-18,1,A,9,90.00
2024-01-18,1,B,9,108.00
2024-01-18,1,C,5,70.00
2024-01-18,2,A,8,80.00
2024-01-18,2,B,7,84.00
2024-01-18,2,C,5,70.00
2024-01-18,3,A,6,60.00
2024-01-18,3,B,7,84.00
2024-01-18,3,C,4,56.00
2024-01-18,4,A,6,60.00
2024-01-18,4,B,9,108.00
2024-01-18,4,C,2,28.00
2024-01-18,5,A,9,90.00
2024-01-18,5,B,9,108.00
2024-01-18,5,C,7,98.00
2024-01-18,6,A,7,70.00
2024-01-18,6,B,6,72.00
2024-01-18,6,C,4,56.00
2024-01-18,7,A,6,60.00
2024-01-18,7,B,6,72.00
2024-01-18,7,C,5,70.00
2024-01-18,8,A,6,60.00
2024-01-18,8,B,11,132.00
2024-01-18,8,C,11,154.00
2024-01-18,9,A,6,60.00
2024-01-18,9,B,2,24.00
2024-01-18,9,C,9,126.00
2024-01-18,10,A,10,100.00
2024-01-18,10,B,7,84.00
2024-01-18,10,C,5,70.00
2024-01-19,1,A,5,50.00
2024-01-19,1,B,7,84.00
2024-01-19,1,C,5,70.00
2024-01-19,2,A,8,80.00
2024-01-19,2,B,11,132.00
2024-01-19,2,C,5,70.00
2024-01-19,3,A,9,90.00
2024-01-19,3,B,8,96.00
2024-01-19,3,C,2,28.00
2024-01-19,4,A,4,40.00
2024-01-19,4,B,6,72.00
2024-01-19,4,C,4,56.00
2024-01-19,5,A,8,80.00
2024-01-19,5,B,3,36.00
2024-01-19,5,C,8,112.00
2024-01-19,6,A,8,80.00
2024-01-19,6,B,2,24.00
2024-01-19,6,C,4,56.00
2024-01-19,7,A,4,40.00
2024-01-19,7,B,8,96.00
2024-01-19,7,C,6,84.00
2024-01-19,8,A,12,120.00
2024-01-19,8,B,9,108.00
2024-01-19,8,C,8,112.00
2024-01-19,9,A,6,60.00
2024-01-19,9,B,3,36.00
2024-01-19,9,C,2,28.00
2024-01-19,10,A,7,70.00
2024-01-19,10,B,6,72.00
2024-01-19,10,C,7,98.00
2024-01-20,1,A,7,70.00
2024-01-20,1,B,5,60.00
2024-01-20,1,C,7,98.00
2024-01-20,2,A,12,120.00
2024-01-20,2,B,6,72.00
2024-01-20,2,C,12,168.00
2024-01-20,3,A,4,40.00
2024-01-20,3,B,3,36.00
2024-01-20,3,C,9,126.00
2024-01-20,4,A,7,70.00
2024-01-20,4,B,9,108.00
2024-01-20,4,C,8,112.00
2024-01-20,5,A,5,50.00
2024-01-20,5,B,9,108.00
2024-01-20,5,C,7,98.00
2024-01-20,6,A,2,20.00
2024-01-20,6,B,1,12.00
2024-01-20,6,C,5,70.00
2024-01-20,7,A,8,80.00
2024-01-20,7,B,7,84.00
2024-01-20,7,C,6,84.00
2024-01-20,8,A,7,70.00
2024-01-20,8,B,7,84.00
2024-01-20,8,C,7,98.00
2024-01-20,9,A,2,20.00
2024-01-20,9,B,4,48.00
2024-01-20,9,C,4,56.00
2024-01-20,10,A,5,50.00
2024-01-20,10,B,6,72.00
2024-01-20,10,C,5,70.00
2024-01-21,1,A,6,60.00
2024-01-21,1,B,8,96.00
2024-01-21,1,C,7,98.00
2024-01-21,2,A,9,90.00
2024-01-21,2,B,5,60.00
2024-01-21,2,C,8,112.00
2024-01-21,3,A,5,50.00
2024-01-21,3,B,6,72.00
2024-01-21,3,C,1,14.00
2024-01-21,4,A,7,70.00
2024-01-21,4,B,9,108.00
2024-01-21,4,C,6,84.00
2024-01-21,5,A,8,80.00
2024-01-21,5,B,9,108.00
2024-01-21,5,C,9,126.00
2024-01-21,6,A,6,60.00
2024-01-21,6,B,5,60.00
2024-01-21,6,C,5,70.00
2024-01-21,7,A,5,50.00
2024-01-21,7,B,6,72.00
2024-01-21,7,C,9,126.00
2024-01-21,8,A,8,80.00
2024-01-21,8,B,8,96.00
2024-01-21,8,C,8,112.00
2024-01-21,9,A,6,60.00
2024-01-21,9,B,3,36.00
2024-01-21,9,C,6,84.00
2024-01-21,10,A,5,50.00
2024-01-21,10,B,4,48.00
2024-01-21,10,C,7,98.00
2024-01-22,1,A,7,70.00
2024-01-22,1,B,7,84.00
2024-01-22,1,C,9,126.00
2024-01-22,2,A,8,80.00
2024-01-22,2,B,9,108.00
2024-01-22,2,C,7,98.00
2024-01-22,3,A,7,70.00
2024-01-22,3,B,6,72.00
2024-01-22,3,C,6,84.00
2024-01-22,4,A,7,70.00
2024-01-22,4,B,5,60.00
2024-01-22,4,C,6,84.00
2024-01-22,5,A,10,100.00
2024-01-22,5,B,8,96.00
2024-01-22,5,C,9,126.00
2024-01-22,6,A,2,20.00
2024-01-22,6,B,5,60.00
2024-01-22,6,C,3,42.00
2024-01-22,7,A,4,40.00
2024-01-22,7,B,6,72.00
2024-01-22,7,C,3,42.00
2024-01-22,8,A,10,100.00
2024-01-22,8,B,10,120.00
2024-01-22,8,C,8,112.00
2024-01-22,9,A,3,30.00
2024-01-22,9,B,3,36.00
2024-01-22,9,C,4,56.00
2024-01-22,10,A,2,20.00
2024-01-22,10,B,7,84.00
2024-01-22,10,C,8,112.00
2024-01-23,1,A,6,60.00
2024-01-23,1,B,6,72.00
2024-01-23,1,C,7,98.00
2024-01-23,2,A,9,90.00
2024-01-23,2,B,11,132.00
2024-01-23,2,C,9,126.00
2024-01-23,3,A,3,30.00
2024-01-23,3,B,4,48.00
2024-01-23,3,C,5,70.00
2024-01-23,4,A,10,100.00
2024-01-23,4,B,6,72.00
2024-01-23,4,C,4,56.00
2024-01-23,5,A,7,70.00
2024-01-23,5,B,4,48.00
2024-01-23,5,C,9,126.00
2024-01-23,6,A,2,20.00
2024-01-23,6,B,2,24.00
2024-01-23,6,C,1,14.00
2024-01-23,7,A,4,40.00
2024-01-23,7,B,8,96.00
2024-01-23,7,C,4,56.00
2024-01-23,8,A,5,50.00
2024-01-23,8,B,9,108.00
2024-01-23,8,C,8,112.00
2024-01-23,9,A,5,50.00
2024-01-23,9,B,6,72.00
2024-01-23,9,C,4,56.00
2024-01-23,10,A,4,40.00
2024-01-23,10,B,6,72.00
2024-01-23,10,C,8,112.00
2024-01-24,1,A,5,50.00
2024-01-24,1,B,4,48.00
2024-01-24,1,C,9,126.00
2024-01-24,2,A,8,80.00
2024-01-24,2,B,8,96.00
2024-01-24,2,C,9,126.00
2024-01-24,3,A,7,70.00
2024-01-24,3,B,5,60.00
2024-01-24,3,C,4,56.00
2024-01-24,4,A,8,80.00
2024-01-24,4,B,11,132.00
2024-01-24,4,C,9,126.00
2024-01-24,5,A,10,100.00
2024-01-24,5,B,6,72.00
2024-01-24,5,C,16,224.00
2024-01-24,6,A,2,20.00
2024-01-24,6,B,4,48.00
2024-01-24,6,C,3,42.00
2024-01-24,7,A,10,100.00
2024-01-24,7,B,7,84.00
2024-01-24,7,C,4,56.00
2024-01-24,8,A,9,90.00
2024-01-24,8,B,10,120.00
2024-01-24,8,C,8,112.00
2024-01-24,9,A,2,20.00
2024-01-24,9,B,3,36.00
2024-01-24,9,C,4,56.00
2024-01-24,10,A,7,70.00
2024-01-24,10,B,5,60.00
2024-01-24,10,C,8,112.00
2024-01-25,1,A,5,50.00
2024-01-25,1,B,3,36.00
2024-01-25,1,C,5,70.00
2024-01-25,2,A,11,110.00
2024-01-25,2,B,7,84.00
2024-01-25,2,C,13,182.00
2024-01-25,3,A,5,50.00
2024-01-25,3,B,2,24.00
2024-01-25,3,C,3,42.00
2024-01-25,4,A,7,70.00
2024-01-25,4,B,4,48.00
2024-01-25,4,C,11,154.00
2024-01-25,5,A,7,70.00
2024-01-25,5,B,10,120.00
2024-01-25,5,C,11,154.00
2024-01-25,6,A,4,40.00
2024-01-25,6,B,3,36.00
2024-01-25,6,C,4,56.00
2024-01-25,7,A,7,70.00
2024-01-25,7,B,8,96.00
2024-01-25,7,C,7,98.00
2024-01-25,8,A,6,60.00
2024-01-25,8,B,9,108.00
2024-01-25,8,C,7,98.00
2024-01-25,9,A,0,0.00
2024-01-25,9,B,3,36.00
2024-01-25,9,C,2,28.00
2024-01-25,10,A,8,80.00
2024-01-25,10,B,10,120.00
2024-01-25,10,C,10,140.00
2024-01-26,1,A,5,50.00
2024-01-26,1,B,6,72.00
2024-01-26,1,C,8,112.00
2024-01-26,2,A,11,110.00
2024-01-26,2,B,8,96.00
2024-01-26,2,C,8,112.00
2024-01-26,3,A,9,90.00
2024-01-26,3,B,4,48.00
2024-01-26,3,C,4,56.00
2024-01-26,4,A,7,70.00
2024-01-26,4,B,8,96.00
2024-01-26,4,C,4,56.00
2024-01-26,5,A,8,80.00
2024-01-26,5,B,6,72.00
2024-01-26,5,C,8,112.00
2024-01-26,6,A,8,80.00
2024-01-26,6,B,6,72.00
2024-01-26,6,C,4,56.00
2024-01-26,7,A,5,50.00
2024-01-26,7,B,6,72.00
2024-01-26,7,C,9,126.00
2024-01-26,8,A,7,70.00
2024-01-26,8,B,11,132.00
2024-01-26,8,C,6,84.00
2024-01-26,9,A,4,40.00
2024-01-26,9,B,8,96.00
2024-01-26,9,C,0,0.00
2024-01-26,10,A,9,90.00
2024-01-26,10,B,3,36.00
2024-01-26,10,C,6,84.00
2024-01-27,1,A,6,60.00
2024-01-27,1,B,8,96.00
2024-01-27,1,C,0,0.00
2024-01-27,2,A,5,50.00
2024-01-27,2,B,7,84.00
2024-01-27,2,C,9,126.00
2024-01-27,3,A,3,30.00
2024-01-27,3,B,4,48.00
2024-01-27,3,C,2,28.00
2024-01-27,4,A,6,60.00
2024-01-27,4,B,5,60.00
2024-01-27,4,C,7,98.00
2024-01-27,5,A,10,100.00
2024-01-27,5,B,11,132.00
2024-01-27,5,C,7,98.00
2024-01-27,6,A,4,40.00
2024-01-27,6,B,5,60.00
2024-01-27,6,C,4,56.00
2024-01-27,7,A,6,60.00
2024-01-27,7,B,3,36.00
2024-01-27,7,C,7,98.00
2024-01-27,8,A,7,70.00
2024-01-27,8,B,7,84.00
2024-01-27,8,C,5,70.00
2024-01-27,9,A,7,70.00
2024-01-27,9,B,4,48.00
2024-01-27,9,C,7,98.00
2024-01-27,10,A,7,70.00
2024-01-27,10,B,3,36.00
2024-01-27,10,C,4,56.00
2024-01-28,1,A,8,80.00
2024-01-28,1,B,5,60.00
2024-01-28,1,C,4,56.00
2024-01-28,2,A,8,80.00
2024-01-28,2,B,8,96.00
2024-01-28,2,C,6,84.00
2024-01-28,3,A,4,40.00
2024-01-28,3,B,4,48.00
2024-01-28,3,C,0,0.00
2024-01-28,4,A,8,80.00
2024-01-28,4,B,5,60.00
